unit,vehicle,geo\time	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 
NR,NMTZ_OTH,IT	: 	: 	: 	: 	: 	: 	: 	: 	: 	1 	6 	2 	1 	2 	2 	0 	2 	2 	5 	2 
NR,NMTZ_OTH,LT	: 	: 	: 	0 	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,NMTZ_OTH,LU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	1 	0 	: 	0 	: 	: 	0 	0 	: 
NR,NMTZ_OTH,LV	: 	1 	: 	: 	: 	: 	0 	0 	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,NMTZ_OTH,MT	0 	0 	0 	0 	: 	: 	: 	: 	: 	0 	0 	: 	: 	0 	: 	: 	: 	: 	: 	: 
NR,NMTZ_OTH,NL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	2 	0 
NR,NMTZ_OTH,NO	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 
NR,NMTZ_OTH,PL	: 	: 	: 	: 	: 	2 	0 	2 	5 	1 	0 	2 	1 	3 	7 	10 	9 	7 	16 	: 
NR,NMTZ_OTH,PT	: 	: 	: 	: 	: 	: 	: 	: 	: 	1 	2 	2 	2 	2 	2 	1 	1 	3 	2 	1 
NR,NMTZ_OTH,RO	60 	44 	46 	68 	55 	58 	67 	60 	69 	85 	69 	58 	73 	65 	49 	58 	56 	58 	67 	56 
NR,NMTZ_OTH,SE	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	1 	0 	0 
NR,NMTZ_OTH,SI	0 	0 	1 	1 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,NMTZ_OTH,SK	: 	: 	: 	: 	: 	: 	: 	: 	0 	1 	0 	0 	0 	1 	0 	1 	0 	0 	: 	: 
NR,NMTZ_OTH,UK	0 	0 	: 	0 	0 	0 	0 	0 	0 	6 	2 	2 	12 	7 	8 	11 	2 	7 	5 	3 
NR,OTH,AT	47 	73 	73 	84 	71 	82 	81 	87 	98 	101 	102 	108 	110 	97 	132 	132 	160 	117 	140 	182 
NR,OTH,BE	74 	95 	81 	94 	107 	109 	104 	113 	108 	101 	99 	104 	122 	108 	101 	113 	127 	158 	142 	154 
NR,OTH,BG	123 	157 	118 	164 	156 	108 	135 	149 	174 	198 	278 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,OTH,CH	43 	47 	50 	58 	43 	69 	75 	69 	75 	60 	59 	79 	76 	69 	95 	91 	96 	104 	: 	: 
NR,OTH,CY	8 	15 	14 	16 	10 	8 	10 	13 	13 	9 	16 	17 	19 	23 	: 	: 	: 	: 	: 	: 
NR,OTH,CZ	142 	129 	130 	150 	130 	162 	163 	176 	168 	176 	238 	232 	202 	298 	281 	290 	308 	322 	362 	342 
NR,OTH,DE	464 	489 	500 	545 	527 	561 	527 	614 	476 	591 	653 	695 	711 	686 	838 	812 	873 	900 	993 	: 
NR,OTH,DK	30 	20 	36 	27 	22 	34 	31 	33 	44 	52 	58 	68 	60 	44 	43 	49 	63 	49 	99 	82 
NR,OTH,EE	12 	10 	22 	24 	26 	23 	29 	26 	14 	23 	41 	38 	64 	50 	: 	: 	: 	: 	: 	: 
NR,OTH,EL	146 	118 	149 	128 	125 	151 	170 	223 	179 	202 	248 	255 	267 	234 	293 	257 	279 	338 	375 	399 
NR,OTH,ES	386 	351 	389 	367 	334 	370 	368 	377 	472 	471 	498 	588 	609 	676 	685 	785 	770 	845 	898 	906 
NR,OTH,FI	25 	27 	29 	32 	36 	34 	29 	41 	35 	30 	53 	48 	49 	45 	49 	59 	40 	62 	62 	67 
NR,OTH,FR	468 	480 	553 	466 	499 	465 	489 	519 	485 	496 	548 	561 	535 	635 	580 	623 	863 	818 	836 	929 
NR,OTH,HR	65 	56 	67 	61 	73 	69 	72 	71 	105 	103 	136 	124 	: 	: 	: 	: 	: 	: 	: 	: 
NR,OTH,HU	165 	170 	152 	149 	152 	147 	156 	124 	192 	186 	251 	288 	296 	289 	326 	299 	: 	: 	: 	: 
NR,OTH,IE	: 	: 	35 	31 	42 	31 	29 	47 	44 	40 	49 	81 	72 	72 	66 	64 	86 	89 	85 	92 
NR,OTH,IS	0 	0 	2 	1 	0 	1 	2 	4 	2 	2 	0 	1 	4 	1 	3 	3 	1 	: 	: 	: 
NR,OTH,IT	612 	600 	570 	602 	578 	551 	576 	589 	621 	667 	646 	627 	758 	786 	810 	871 	1226 	1032 	982 	847 
NR,OTH,LT	: 	: 	: 	81 	109 	96 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,OTH,LU	3 	4 	8 	7 	3 	5 	6 	6 	1 	12 	6 	7 	10 	2 	12 	7 	6 	11 	11 	2 
NR,OTH,LV	50 	51 	55 	63 	71 	70 	62 	60 	79 	82 	105 	158 	153 	174 	197 	: 	: 	: 	: 	: 
NR,OTH,MT	2 	7 	8 	5 	: 	: 	: 	: 	: 	: 	1 	3 	4 	6 	: 	: 	: 	: 	: 	: 
NR,OTH,NL	50 	64 	44 	60 	50 	51 	64 	65 	62 	63 	56 	86 	66 	83 	68 	97 	97 	106 	106 	111 
NR,OTH,NO	: 	11 	15 	12 	18 	18 	22 	16 	24 	26 	31 	23 	36 	32 	22 	34 	35 	45 	: 	: 
NR,OTH,PL	: 	873 	868 	915 	1116 	1140 	1157 	1408 	1236 	1467 	1882 	1951 	1802 	1756 	1987 	1879 	1987 	1866 	2256 	: 
NR,OTH,PT	: 	130 	123 	146 	145 	144 	159 	199 	195 	147 	154 	155 	153 	212 	231 	277 	336 	333 	384 	393 
NR,OTH,RO	690 	733 	717 	649 	697 	726 	728 	747 	868 	1015 	1067 	1113 	1034 	978 	1059 	944 	1101 	1088 	1110 	1178 
NR,OTH,SE	34 	37 	42 	28 	52 	42 	50 	53 	31 	44 	45 	58 	55 	50 	67 	55 	58 	87 	73 	86 
NR,OTH,SI	13 	10 	22 	16 	14 	20 	19 	21 	26 	24 	39 	32 	36 	37 	35 	38 	41 	42 	60 	: 
NR,OTH,SK	: 	: 	: 	: 	: 	: 	: 	: 	126 	113 	204 	217 	214 	174 	199 	198 	198 	198 	: 	: 
NR,OTH,UK	472 	485 	463 	427 	464 	405 	429 	466 	415 	524 	591 	663 	697 	699 	694 	802 	808 	858 	889 	909 
NR,QUA_GT50,EE	1 	0 	1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,QUA_GT50,ES	4 	2 	3 	1 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,QUA_GT50,FR	11 	22 	17 	16 	: 	: 	: 	: 	: 	: 	3 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,QUA_GT50,HR	2 	: 	1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,QUA_GT50,IS	1 	0 	0 	0 	0 	1 	0 	0 	0 	1 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 
NR,QUA_GT50,LU	1 	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,QUA_GT50,MT	0 	1 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,QUA_GT50,SI	0 	1 	0 	1 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,QUA_LE50,BG	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,QUA_LE50,ES	1 	3 	0 	1 	2 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,QUA_LE50,FR	1 	2 	0 	0 	: 	: 	: 	: 	: 	: 	11 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,QUA_LE50,HR	0 	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,QUA_LE50,LU	: 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,QUA_LE50,SI	0 	0 	0 	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,TOTAL,AT	409 	414 	432 	479 	430 	455 	531 	523 	552 	633 	679 	691 	730 	768 	878 	931 	956 	958 	976 	1079 
NR,TOTAL,BE	604 	609 	670 	762 	745 	764 	770 	862 	850 	944 	944 	1071 	1069 	1089 	1162 	1213 	1306 	1486 	1470 	1397 
NR,TOTAL,BG	610 	682 	708 	708 	661 	601 	601 	656 	776 	901 	1061 	1006 	1043 	957 	943 	960 	959 	1011 	1012 	1047 
NR,TOTAL,CH	233 	230 	216 	253 	243 	269 	339 	320 	327 	349 	357 	384 	370 	409 	510 	546 	513 	544 	592 	583 
NR,TOTAL,CY	49 	53 	46 	57 	45 	44 	51 	71 	60 	71 	82 	89 	86 	102 	117 	97 	94 	98 	111 	113 
NR,TOTAL,CZ	656 	577 	611 	734 	688 	654 	742 	773 	802 	901 	1076 	1221 	1063 	1286 	1382 	1447 	1430 	1333 	1486 	1455 
NR,TOTAL,DE	3275 	3180 	3206 	3459 	3377 	3339 	3600 	4009 	3648 	4152 	4477 	4949 	5091 	5361 	5842 	6613 	6842 	6977 	7503 	7772 
NR,TOTAL,DK	171 	175 	211 	178 	182 	191 	167 	220 	255 	303 	406 	406 	306 	331 	369 	432 	463 	431 	498 	514 
NR,TOTAL,EE	67 	48 	71 	67 	78 	81 	87 	101 	79 	98 	132 	196 	204 	170 	170 	164 	223 	199 	204 	232 
NR,TOTAL,EL	700 	731 	824 	793 	795 	879 	988 	1141 	1258 	1456 	1553 	1612 	1657 	1658 	1670 	1605 	1634 	1880 	2037 	2116 
NR,TOTAL,ES	1806 	1830 	1810 	1689 	1680 	1667 	1889 	2042 	2444 	2687 	3064 	3785 	4069 	4406 	4715 	5373 	5312 	5478 	5746 	5709 
NR,TOTAL,EU27_2020	23339 d	23394 d	23812 d	24358 	24133 	24213 	26429 	28708 	29576 	32978 	36880 	40038 	40365 	42552 	44466 	47331 	50343 	51282 	53410 	54680 
NR,TOTAL,EU28	25178 d	25250 d	25672 d	26162 	25987 	25983 	28231 	30668 	31481 	35315 	39525 	43097 	43663 	45888 	47834 	50989 	53924 	54880 	56990 	58244 
NR,TOTAL,FI	239 	238 	258 	270 	229 	258 	255 	292 	272 	279 	344 	380 	336 	379 	375 	379 	415 	433 	396 	431 
NR,TOTAL,FR	3246 	3444 	3471 	3459 	3384 	3268 	3653 	3963 	3992 	4273 	4275 	4620 	4709 	5318 	5506 	6034 	7630 	8136 	8059 	8462 
NR,TOTAL,HR	317 	331 	307 	348 	308 	368 	393 	418 	426 	548 	664 	619 	614 	597 	608 	701 	627 	647 	655 	662 
NR,TOTAL,HU	633 	625 	607 	644 	626 	591 	605 	638 	740 	822 	996 	1232 	1303 	1278 	1296 	1326 	1429 	1239 	1200 	1306 
NR,TOTAL,IE	142 d	156 d	182 	162 	193 	188 	162 	186 	212 	238 	280 	338 	365 	400 	377 	337 	378 	412 	418 	414 
NR,TOTAL,IS	18 	16 	18 	16 	4 	15 	9 	12 	8 	17 	12 	15 	31 	19 	23 	23 	29 	24 	32 	21 
NR,TOTAL,IT	3334 	3378 	3283 	3428 	3381 	3401 	3753 	3860 	4114 	4237 	4725 	5131 	5669 	5818 	6122 	6563 	6980 	7096 	7061 	6688 
NR,TOTAL,LI	0 d	2 d	0 d	2 d	3 d	2 	1 	2 	0 	1 	1 	0 	0 	2 	1 	5 	0 	2 	3 	0 
NR,TOTAL,LT	173 d	191 d	192 d	242 	267 	256 	302 	296 	299 	370 	499 	740 	760 	773 	752 	709 	697 	706 	641 	748 
NR,TOTAL,LU	36 	25 	32 	36 	35 	45 	34 	33 	32 	48 	35 	46 	43 	47 	50 	53 	62 	70 	76 	58 
NR,TOTAL,LV	148 	136 	158 	188 	212 	179 	177 	179 	218 	254 	316 	419 	407 	442 	516 	532 	559 	558 	635 	652 
NR,TOTAL,MT	18 	19 	23 	11 	10 	17 	9 	16 	13 	15 	9 	12 	11 	17 	13 	16 	16 	16 	15 	4 
NR,TOTAL,NL	598 	535 	533 	531 	476 	476 	562 	546 	537 	644 	677 	709 	730 	750 	804 	1028 	987 	993 	1082 	1090 
NR,TOTAL,NO	108 d	106 	135 	117 	147 	187 	145 	168 	208 	212 	255 	233 	242 	224 	257 	280 	310 	275 	341 	304 
NR,TOTAL,PL	2862 d	2831 	3026 	2938 	3202 	3357 	3571 	4189 	3908 	4572 	5437 	5583 	5243 	5444 	5712 	5642 	5826 	5534 	6294 	6730 
NR,TOTAL,PT	704 d	602 	563 	593 	638 	637 	718 	891 	937 	823 	867 	958 	949 	1228 	1283 	1523 	1653 	1655 	1836 	1972 
NR,TOTAL,RO	1867 	1951 	1913 	1893 	1818 	1861 	2042 	2018 	2377 	2796 	3065 	2800 	2587 	2629 	2442 	2229 	2411 	2450 	2466 	2468 
NR,TOTAL,SE	324 	253 	270 	259 	270 	260 	285 	319 	266 	358 	397 	471 	445 	440 	480 	529 	560 	583 	591 	580 
NR,TOTAL,SI	91 	104 	130 	120 	108 	125 	130 	141 	138 	171 	214 	293 	262 	258 	274 	242 	269 	278 	314 	334 
NR,TOTAL,SK	260 d	276 d	275 d	310 	295 	251 	352 	325 	371 	384 	606 	661 	614 	606 	608 	653 	625 	625 	628 	647 
NR,TOTAL,TR	6675 d	7427 d	7300 d	7530 d	3524 d	3685 d	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,TOTAL,UK	1839 	1856 	1860 	1804 	1854 	1770 	1802 	1960 	1905 	2337 	2645 	3059 	3298 	3336 	3368 	3658 	3581 	3598 	3580 	3564 
NR,TRC,AT	3 	6 	6 	4 	4 	3 	3 	1 	4 	5 	1 	6 	6 	5 	11 	5 	4 	8 	4 	7 
NR,TRC,BE	14 	10 	14 	13 	9 	6 	9 	11 	10 	10 	9 	13 	12 	13 	11 	14 	10 	22 	16 	15 
NR,TRC,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	1 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,TRC,CH	0 	1 	0 	0 	1 	0 	0 	0 	0 	1 	1 	1 	1 	1 	0 	0 	0 	6 	: 	: 
NR,TRC,DE	: 	: 	: 	: 	: 	: 	: 	5 	5 	4 	3 	2 	1 	5 	0 	3 	2 	2 	5 	: 
NR,TRC,DK	: 	: 	: 	: 	: 	: 	: 	: 	2 	2 	1 	1 	1 	2 	3 	1 	1 	0 	3 	1 
NR,TRC,EE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	: 	: 	: 	: 	: 	: 
NR,TRC,EL	1 	1 	3 	3 	1 	0 	1 	1 	1 	1 	2 	2 	5 	3 	2 	4 	2 	6 	10 	5 
NR,TRC,ES	41 	44 	41 	31 	29 	19 	26 	28 	32 	29 	32 	42 	61 	85 	74 	80 	72 	59 	82 	55 
NR,TRC,FR	17 	21 	20 	22 	29 	28 	22 	25 	33 	24 	30 	37 	32 	51 	51 	58 	76 	81 	70 	66 
NR,TRC,HR	1 	: 	3 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,TRC,HU	4 	3 	5 	3 	2 	2 	2 	1 	3 	3 	5 	2 	3 	3 	6 	1 	: 	: 	: 	: 
NR,TRC,IE	: 	: 	2 	1 	1 	2 	1 	0 	2 	4 	1 	3 	1 	0 	3 	8 	3 	2 	3 	3 
NR,TRC,IT	30 	32 	24 	30 	34 	26 	30 	34 	33 	34 	42 	55 	49 	62 	53 	66 	56 	68 	73 	73 
NR,TRC,LT	: 	: 	: 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,TRC,LU	0 	0 	0 	1 	0 	2 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,TRC,LV	0 	0 	: 	: 	3 	2 	: 	1 	0 	2 	1 	3 	4 	2 	4 	: 	: 	: 	: 	: 
NR,TRC,MT	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,TRC,NL	6 	3 	2 	3 	3 	5 	3 	2 	1 	3 	4 	3 	4 	4 	2 	5 	5 	5 	2 	5 
NR,TRC,NO	: 	1 	0 	0 	1 	0 	0 	1 	0 	2 	0 	3 	1 	0 	0 	1 	0 	2 	: 	: 
NR,TRC,PT	: 	0 	1 	1 	1 	2 	0 	2 	2 	1 	2 	5 	1 	5 	3 	: 	: 	: 	: 	: 
NR,TRC,RO	8 	6 	7 	4 	4 	6 	7 	6 	9 	5 	6 	2 	4 	5 	0 	0 	1 	1 	2 	1 
NR,TRC,SI	0 	0 	2 	0 	0 	1 	0 	1 	1 	0 	0 	2 	2 	3 	4 	0 	5 	3 	3 	: 
NR,TRC,SK	: 	: 	: 	: 	: 	: 	: 	: 	1 	2 	0 	1 	4 	1 	5 	3 	3 	3 	: 	: 
NR,TRC_AGR,AT	9 	4 	3 	3 	8 	4 	3 	6 	7 	13 	6 	9 	8 	8 	7 	10 	12 	15 	19 	12 
NR,TRC_AGR,BE	4 	1 	2 	5 	0 	3 	2 	1 	3 	1 	3 	3 	2 	1 	3 	2 	1 	0 	5 	4 
NR,TRC_AGR,BG	1 	0 	: 	: 	: 	: 	: 	: 	: 	1 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,TRC_AGR,CH	6 	5 	4 	4 	5 	5 	5 	5 	4 	4 	8 	9 	9 	5 	3 	8 	6 	7 	: 	: 
NR,TRC_AGR,CY	1 	0 	1 	0 	0 	0 	0 	2 	0 	0 	1 	0 	1 	0 	: 	: 	: 	: 	: 	: 
NR,TRC_AGR,CZ	0 	2 	1 	4 	1 	1 	4 	1 	4 	1 	0 	3 	4 	6 	4 	6 	9 	3 	4 	9 
NR,TRC_AGR,DE	20 	15 	9 	25 	27 	12 	15 	17 	16 	18 	11 	18 	24 	18 	13 	25 	25 	16 	22 	: 
NR,TRC_AGR,DK	0 	0 	1 	0 	0 	0 	1 	3 	0 	0 	1 	1 	2 	3 	0 	0 	0 	1 	1 	2 
