unit,vehicle,geo\time	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 
NR,TRC_AGR,EE	0 	0 	0 	0 	0 	0 	2 	0 	1 	0 	0 	0 	0 	2 	: 	: 	: 	: 	: 	: 
NR,TRC_AGR,EL	17 	14 	11 	12 	13 	17 	17 	25 	23 	31 	44 	24 	29 	26 	37 	46 	43 	72 	54 	71 
NR,TRC_AGR,ES	20 	14 	19 	21 	13 	17 	18 	25 	17 	21 	25 	38 	30 	25 	39 	22 	15 	27 	34 	30 
NR,TRC_AGR,FI	2 	3 	6 	5 	3 	4 	1 	2 	2 	4 	6 	2 	2 	0 	1 	3 	2 	2 	4 	3 
NR,TRC_AGR,FR	16 	11 	8 	5 	13 	7 	7 	6 	13 	10 	11 	11 	12 	12 	12 	24 	19 	11 	26 	19 
NR,TRC_AGR,HR	9 	4 	5 	5 	8 	12 	11 	6 	8 	13 	8 	12 	: 	: 	: 	: 	: 	: 	: 	: 
NR,TRC_AGR,IS	0 	0 	0 	1 	0 	0 	0 	0 	0 	1 	0 	: 	: 	0 	0 	0 	0 	: 	: 	: 
NR,TRC_AGR,IT	15 	13 	19 	22 	26 	25 	9 	27 	25 	20 	23 	24 	12 	32 	26 	27 	25 	27 	29 	38 
NR,TRC_AGR,LT	: 	: 	: 	0 	0 	3 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,TRC_AGR,LU	0 	0 	0 	0 	0 	0 	0 	0 	1 	0 	0 	0 	0 	0 	0 	0 	0 	0 	2 	0 
NR,TRC_AGR,LV	4 	2 	0 	6 	5 	2 	3 	8 	5 	0 	2 	6 	6 	7 	8 	: 	: 	: 	: 	: 
NR,TRC_AGR,MT	: 	: 	0 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 
NR,TRC_AGR,NL	0 	: 	0 	2 	1 	0 	1 	3 	0 	1 	1 	2 	1 	4 	2 	5 	2 	1 	3 	4 
NR,TRC_AGR,NO	: 	0 	2 	1 	2 	3 	1 	1 	1 	2 	3 	1 	0 	0 	2 	1 	2 	1 	: 	: 
NR,TRC_AGR,PL	: 	17 	13 	15 	19 	23 	23 	26 	23 	23 	29 	43 	23 	67 	57 	45 	51 	61 	80 	: 
NR,TRC_AGR,PT	: 	23 	19 	13 	24 	21 	26 	31 	28 	31 	29 	31 	40 	32 	35 	24 	31 	30 	37 	28 
NR,TRC_AGR,RO	8 	8 	2 	7 	3 	6 	4 	5 	3 	9 	5 	6 	3 	7 	0 	1 	0 	1 	0 	0 
NR,TRC_AGR,SE	3 	1 	3 	2 	0 	1 	1 	6 	0 	1 	0 	1 	3 	1 	5 	2 	3 	0 	4 	6 
NR,TRC_AGR,SI	1 	0 	4 	2 	0 	3 	0 	1 	1 	5 	2 	4 	: 	1 	6 	1 	3 	8 	6 	: 
NR,TRC_AGR,UK	6 	3 	4 	7 	7 	5 	2 	4 	2 	4 	1 	1 	0 	0 	7 	11 	1 	3 	7 	2 
NR,TRM_LR,BE	0 	0 	0 	0 	0 	0 	: 	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,TRM_LR,BG	0 	1 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,TRM_LR,CH	0 	0 	0 	1 	1 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	1 	: 	: 
NR,TRM_LR,DE	2 	0 	0 	2 	2 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,TRM_LR,EE	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,TRM_LR,ES	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,TRM_LR,FI	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,TRM_LR,FR	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,TRM_LR,HR	0 	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,TRM_LR,HU	0 	0 	2 	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,TRM_LR,IT	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,TRM_LR,LT	: 	: 	: 	: 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,TRM_LR,LU	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,TRM_LR,LV	0 	0 	0 	0 	0 	0 	0 	0 	1 	1 	0 	: 	: 	0 	0 	: 	: 	: 	: 	: 
NR,TRM_LR,PL	: 	1 	0 	0 	3 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,TRM_LR,PT	: 	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,TRM_LR,SE	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,TRM_LR,UK	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,UNK,AT	4 	1 	0 	0 	2 	0 	1 	3 	12 	10 	2 	8 	5 	7 	6 	7 	3 	3 	5 	1 
NR,UNK,BE	4 	5 	6 	14 	13 	21 	52 	26 	35 	61 	70 	79 	48 	71 	147 	87 	3 	2 	2 	1 
NR,UNK,BG	68 	87 	75 	0 	: 	: 	: 	: 	: 	5 	5 	1006 	1043 	957 	943 	960 	959 	1011 	1012 	1047 
NR,UNK,CH	0 	5 	2 	2 	2 	2 	3 	4 	1 	4 	2 	3 	3 	3 	5 	4 	5 	7 	592 	583 
NR,UNK,CY	0 	0 	0 	1 	2 	0 	3 	3 	0 	1 	1 	4 	1 	1 	117 	97 	94 	98 	111 	113 
NR,UNK,CZ	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
NR,UNK,DE	14 	8 	9 	4 	3 	9 	6 	10 	7 	26 	12 	19 	18 	17 	25 	16 	25 	27 	19 	7772 
NR,UNK,DK	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	1 	0 	0 	0 	0 	0 	1 	0 	2 	0 
NR,UNK,EE	18 	8 	4 	3 	6 	4 	2 	5 	6 	1 	2 	4 	7 	6 	170 	164 	223 	199 	204 	232 
NR,UNK,EL	0 	3 	4 	1 	2 	6 	8 	1 	6 	12 	7 	13 	6 	11 	5 	5 	3 	8 	15 	10 
NR,UNK,ES	3 	1 	4 	0 	2 	23 	44 	30 	46 	45 	43 	61 	63 	64 	25 	28 	25 	35 	33 	29 
NR,UNK,EU27_2020	: 	: 	: 	: 	: 	: 	: 	: 	: 	691 	768 	: 	2769 	2660 	2949 	: 	4779 	4660 	: 	20474 
NR,UNK,EU28	: 	: 	: 	: 	: 	: 	: 	: 	: 	692 	769 	: 	2770 	2660 	2949 	: 	4780 	4660 	: 	20474 
NR,UNK,FI	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	1 	1 	1 	0 	2 	2 	0 
NR,UNK,FR	: 	: 	: 	: 	28 	21 	33 	26 	31 	33 	11 	29 	32 	17 	17 	29 	7 	8 	13 	16 
NR,UNK,HR	0 	0 	0 	0 	0 	0 	0 	0 	1 	1 	1 	0 	614 	597 	608 	701 	627 	647 	655 	662 
NR,UNK,HU	0 	0 	1 	0 	0 	0 	0 	0 	0 	0 	7 	4 	9 	7 	6 	19 	1429 	1239 	1200 	1306 
NR,UNK,IE	: 	: 	1 	4 	3 	5 	4 	0 	6 	2 	9 	5 	8 	13 	20 	7 	7 	4 	5 	6 
NR,UNK,IS	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	1 	1 	1 	24 	32 	21 
NR,UNK,IT	61 	20 	15 	21 	16 	19 	22 	16 	3 	10 	18 	20 	23 	34 	26 	31 	17 	17 	140 	137 
NR,UNK,LI	: 	: 	: 	: 	: 	2 	1 	2 	0 	1 	1 	0 	0 	2 	1 	5 	0 	2 	3 	0 
NR,UNK,LT	: 	: 	: 	2 	0 	3 	302 	296 	299 	370 	499 	740 	760 	773 	752 	709 	697 	706 	641 	748 
NR,UNK,LU	: 	: 	: 	: 	: 	: 	0 	: 	0 	0 	0 	: 	0 	0 	0 	: 	0 	0 	: 	0 
NR,UNK,LV	0 	0 	1 	1 	0 	1 	0 	0 	0 	2 	2 	5 	3 	0 	0 	532 	559 	558 	635 	652 
NR,UNK,MT	0 	0 	0 	0 	10 	17 	9 	16 	1 	1 	0 	1 	0 	0 	13 	16 	16 	16 	15 	4 
NR,UNK,NL	79 	57 	54 	43 	34 	37 	13 	17 	14 	8 	12 	7 	7 	6 	4 	3 	0 	1 	3 	0 
NR,UNK,NO	: 	0 	0 	1 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	1 	0 	0 	341 	304 
NR,UNK,PL	: 	136 	2 	11 	15 	14 	10 	11 	13 	18 	17 	16 	47 	6 	4 	2 	7 	7 	7 	6730 
NR,UNK,PT	: 	0 	1 	0 	0 	1 	2 	0 	0 	47 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
NR,UNK,RO	7 	2 	3 	8 	9 	4 	12 	12 	5 	11 	25 	17 	20 	28 	16 	17 	25 	26 	36 	27 
NR,UNK,SE	7 	3 	6 	4 	5 	2 	4 	0 	0 	0 	0 	0 	0 	0 	0 	0 	1 	0 	0 	0 
NR,UNK,SI	13 	20 	18 	21 	22 	19 	20 	28 	23 	26 	23 	54 	55 	44 	44 	43 	51 	45 	50 	334 
NR,UNK,SK	: 	: 	: 	310 	295 	251 	352 	325 	0 	1 	1 	1 	0 	0 	0 	1 	0 	1 	628 	647 
NR,UNK,UK	14 	8 	15 	21 	10 	11 	7 	20 	21 	1 	1 	0 	1 	0 	0 	0 	1 	0 	0 	0 
NR,VEH_GD,BG	: 	: 	: 	32 	23 	24 	21 	20 	30 	33 	27 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,VEH_GD,DE	65 	43 	38 	58 	40 	148 	154 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,VEH_GD,EE	3 	1 	2 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,VEH_GD,HR	: 	: 	: 	: 	: 	: 	: 	: 	: 	16 	20 	17 	: 	: 	: 	: 	: 	: 	: 	: 
NR,VEH_GD,HU	: 	: 	: 	: 	: 	: 	: 	: 	: 	2 	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 
NR,VEH_GD,IT	: 	: 	: 	: 	: 	: 	: 	: 	: 	139 	177 	148 	202 	192 	191 	223 	266 	244 	: 	: 
NR,VEH_GD,LV	2 	0 	0 	1 	1 	0 	0 	1 	0 	2 	1 	: 	: 	1 	2 	: 	: 	: 	: 	: 
NR,VEH_GD,MT	0 	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,VEH_GD,PL	: 	: 	114 	74 	92 	90 	104 	138 	142 	136 	175 	198 	227 	217 	229 	264 	270 	243 	225 	: 
NR,VEH_GD,SI	6 	3 	1 	1 	1 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,VEH_GD,UK	3 	1 	3 	2 	0 	0 	0 	1 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,VG_GT3P5,AT	1 	2 	7 	4 	5 	3 	1 	5 	3 	4 	2 	5 	9 	6 	10 	9 	8 	6 	6 	6 
NR,VG_GT3P5,BE	5 	6 	10 	3 	5 	9 	8 	4 	4 	10 	16 	12 	4 	3 	7 	1 	5 	6 	4 	5 
NR,VG_GT3P5,BG	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,VG_GT3P5,CH	2 	1 	1 	3 	1 	3 	1 	1 	2 	1 	3 	3 	0 	3 	3 	0 	2 	4 	: 	: 
NR,VG_GT3P5,CY	0 	0 	0 	0 	0 	2 	1 	: 	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 
NR,VG_GT3P5,CZ	19 	20 	18 	9 	23 	19 	25 	23 	27 	20 	18 	21 	22 	26 	32 	29 	20 	22 	34 	23 
NR,VG_GT3P5,DE	30 	29 	32 	26 	32 	: 	: 	83 	82 	75 	88 	129 	112 	92 	105 	104 	111 	91 	127 	: 
NR,VG_GT3P5,DK	3 	2 	3 	2 	1 	1 	0 	1 	0 	1 	1 	3 	1 	0 	0 	1 	4 	2 	0 	2 
NR,VG_GT3P5,EE	: 	: 	: 	0 	3 	2 	1 	0 	1 	6 	3 	3 	6 	7 	: 	: 	: 	: 	: 	: 
NR,VG_GT3P5,EL	9 	8 	3 	8 	11 	7 	10 	9 	13 	6 	17 	12 	18 	12 	17 	22 	21 	22 	16 	33 
NR,VG_GT3P5,ES	17 	13 	14 	28 	19 	24 	24 	44 	38 	39 	51 	46 	68 	53 	74 	78 	97 	88 	111 	118 
NR,VG_GT3P5,FI	3 	10 	5 	4 	4 	6 	10 	5 	9 	6 	5 	7 	7 	6 	2 	9 	5 	6 	9 	5 
NR,VG_GT3P5,FR	27 	30 	35 	34 	27 	29 	34 	42 	32 	30 	46 	31 	55 	39 	30 	53 	53 	57 	50 	42 
NR,VG_GT3P5,HR	1 	0 	0 	6 	4 	2 	2 	2 	4 	1 	1 	0 	: 	: 	: 	: 	: 	: 	: 	: 
NR,VG_GT3P5,HU	10 	4 	7 	8 	12 	11 	13 	9 	8 	7 	17 	13 	25 	12 	21 	13 	: 	: 	: 	: 
NR,VG_GT3P5,IE	: 	: 	1 	0 	2 	0 	1 	0 	0 	0 	3 	4 	1 	4 	4 	0 	0 	4 	3 	3 
NR,VG_GT3P5,IS	0 	0 	1 	0 	0 	0 	0 	0 	1 	1 	1 	0 	0 	0 	1 	2 	0 	: 	: 	: 
NR,VG_GT3P5,IT	20 	60 	59 	14 	12 	17 	16 	16 	20 	: 	: 	: 	: 	: 	: 	: 	: 	: 	43 	33 
NR,VG_GT3P5,LT	: 	: 	: 	3 	4 	6 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,VG_GT3P5,LU	0 	0 	0 	0 	0 	0 	0 	0 	1 	0 	0 	4 	2 	0 	0 	0 	3 	1 	0 	1 
NR,VG_GT3P5,LV	1 	4 	3 	4 	1 	1 	4 	0 	0 	2 	1 	9 	9 	3 	7 	: 	: 	: 	: 	: 
NR,VG_GT3P5,MT	0 	0 	0 	0 	: 	: 	: 	: 	0 	0 	1 	0 	0 	0 	: 	: 	: 	: 	: 	: 
NR,VG_GT3P5,NL	1 	4 	4 	6 	3 	2 	4 	0 	3 	1 	6 	4 	5 	7 	8 	3 	6 	11 	6 	9 
NR,VG_GT3P5,NO	: 	1 	5 	4 	6 	11 	2 	7 	8 	7 	9 	2 	7 	11 	5 	10 	8 	7 	: 	: 
NR,VG_GT3P5,PT	: 	4 	6 	9 	7 	16 	16 	12 	10 	25 	13 	19 	16 	24 	23 	30 	17 	29 	37 	33 
NR,VG_GT3P5,RO	6 	6 	4 	11 	13 	12 	14 	19 	4 	9 	20 	23 	22 	35 	45 	61 	43 	55 	56 	53 
NR,VG_GT3P5,SE	4 	3 	6 	5 	5 	5 	2 	4 	5 	3 	5 	6 	7 	6 	5 	6 	13 	5 	11 	5 
NR,VG_GT3P5,SI	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	2 	: 	0 	0 	0 	0 	0 	0 	: 
NR,VG_GT3P5,SK	: 	: 	: 	: 	: 	: 	: 	: 	18 	15 	18 	21 	16 	17 	14 	17 	17 	8 	: 	: 
NR,VG_GT3P5,UK	14 	21 	14 	31 	14 	22 	30 	28 	30 	15 	24 	54 	41 	59 	47 	46 	63 	57 	59 	52 
NR,VG_LE3P5,AT	11 	16 	10 	12 	10 	15 	15 	5 	10 	13 	19 	15 	16 	24 	22 	28 	19 	25 	18 	13 
NR,VG_LE3P5,BE	30 	29 	38 	37 	27 	38 	29 	29 	39 	43 	40 	49 	34 	44 	32 	27 	40 	48 	52 	42 
NR,VG_LE3P5,BG	0 	1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,VG_LE3P5,CH	2 	2 	1 	1 	3 	3 	6 	8 	6 	3 	5 	4 	8 	6 	6 	13 	6 	9 	: 	: 
NR,VG_LE3P5,CY	7 	4 	5 	0 	4 	1 	4 	4 	5 	12 	8 	4 	4 	9 	: 	: 	: 	: 	: 	: 
NR,VG_LE3P5,CZ	2 	12 	17 	15 	16 	15 	7 	15 	18 	25 	27 	45 	31 	36 	35 	20 	32 	27 	32 	26 
NR,VG_LE3P5,DE	79 	95 	63 	62 	71 	: 	: 	86 	75 	85 	92 	84 	122 	116 	128 	129 	131 	137 	147 	: 
NR,VG_LE3P5,DK	13 	5 	6 	9 	9 	17 	6 	10 	14 	16 	22 	24 	24 	23 	13 	20 	29 	22 	23 	27 
NR,VG_LE3P5,EE	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 
NR,VG_LE3P5,EL	31 	43 	31 	44 	35 	38 	51 	51 	62 	75 	62 	56 	82 	72 	74 	86 	72 	94 	118 	112 
NR,VG_LE3P5,ES	93 	98 	88 	93 	111 	68 	97 	97 	110 	165 	181 	229 	257 	238 	288 	311 	336 	317 	316 	325 
NR,VG_LE3P5,FI	6 	12 	14 	13 	10 	9 	11 	9 	9 	10 	9 	12 	3 	12 	14 	15 	12 	9 	16 	9 
NR,VG_LE3P5,FR	92 	99 	130 	120 	142 	132 	145 	134 	146 	144 	134 	131 	120 	56 	59 	77 	77 	77 	75 	139 
NR,VG_LE3P5,HR	4 	9 	5 	5 	5 	2 	15 	10 	5 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,VG_LE3P5,HU	25 	24 	15 	17 	25 	17 	20 	30 	24 	28 	33 	47 	36 	44 	41 	31 	: 	: 	: 	: 
NR,VG_LE3P5,IE	: 	: 	5 	5 	5 	12 	10 	17 	8 	13 	16 	25 	16 	18 	19 	19 	17 	20 	10 	16 
NR,VG_LE3P5,IS	4 	1 	0 	0 	1 	1 	1 	0 	0 	1 	0 	0 	2 	1 	1 	0 	1 	: 	: 	: 
NR,VG_LE3P5,IT	139 	64 	58 	118 	109 	102 	118 	117 	141 	: 	: 	: 	: 	: 	: 	: 	: 	: 	74 	98 
NR,VG_LE3P5,LT	: 	: 	: 	1 	2 	1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,VG_LE3P5,LU	1 	1 	1 	6 	0 	0 	1 	1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,VG_LE3P5,LV	2 	1 	2 	3 	6 	5 	4 	2 	0 	5 	2 	: 	: 	2 	3 	: 	: 	: 	: 	: 
NR,VG_LE3P5,MT	0 	0 	0 	0 	: 	: 	: 	: 	0 	0 	0 	0 	0 	5 	: 	: 	: 	: 	: 	: 
NR,VG_LE3P5,NL	21 	21 	24 	15 	7 	15 	16 	18 	22 	24 	31 	35 	21 	20 	14 	55 	36 	42 	52 	45 
NR,VG_LE3P5,NO	: 	2 	1 	4 	1 	9 	9 	5 	9 	5 	7 	10 	11 	6 	12 	5 	15 	9 	: 	: 
NR,VG_LE3P5,PT	: 	55 	41 	46 	49 	61 	48 	76 	88 	66 	83 	67 	93 	116 	100 	131 	135 	134 	154 	143 
NR,VG_LE3P5,RO	73 	64 	63 	77 	67 	61 	72 	64 	73 	87 	114 	105 	124 	116 	71 	68 	73 	89 	61 	52 
NR,VG_LE3P5,SE	12 	5 	6 	10 	8 	5 	16 	10 	7 	7 	11 	9 	9 	11 	5 	13 	8 	15 	13 	14 
NR,VG_LE3P5,SI	0 	0 	0 	0 	0 	5 	5 	1 	2 	6 	3 	3 	2 	8 	6 	3 	3 	5 	1 	: 
NR,VG_LE3P5,SK	: 	: 	: 	: 	: 	: 	: 	: 	1 	1 	2 	2 	3 	9 	3 	2 	2 	5 	: 	: 
NR,VG_LE3P5,UK	38 	41 	51 	34 	34 	39 	34 	35 	37 	40 	47 	63 	55 	57 	67 	74 	72 	68 	70 	66 
